title,date,url,indico_sentiment,roseta_sentiment
"China Premier says respects Ukraine integrity, won't be drawn on Crimea - Yahoo News",2015-03-14T22:03:45-07:00,http://news.yahoo.com/china-premier-says-respects-ukraine-integrity-wont-drawn-051226816.html,0.6245631203018415,0.6804958569366644
Russia has shown its mastery of the propaganda war. Ukraine is struggling to catch up,2015-03-12T08:53:27-07:00,http://www.economist.com/news/europe/21646280-russia-has-shown-its-mastery-propaganda-war-ukraine-struggling-catch-up-battle-web,0.6449977383039577,0.9562361256407904
BBC News - Boris Nemtsov Ukraine report 'to be released in April',2015-03-14T06:38:06-07:00,http://www.bbc.co.uk/news/world-europe-31885322,0.48224005506781265,0.5237195119050574
Ukraine's old guard plagued by mystery deaths - Yahoo News,2015-03-14T04:49:37-07:00,http://news.yahoo.com/ukraines-old-guard-plagued-mystery-deaths-113906039.html,0.6410457434283017,0.9265134996175622
"In E. Ukraine, Civilian Deaths Push Men to Join Rebels",2015-03-11T21:19:37-07:00,http://www.voanews.com/content/in-eastern-ukraine-civilian-casualties-push-men-to-join-rebels/2677067.html,0.5335697148119569,0.4996505502849637
U.S. to send Humvees and unarmed drones to Ukraine - but still no weapons - The Washington Post,2015-03-11T08:14:03-07:00,http://www.washingtonpost.com/news/checkpoint/wp/2015/03/11/u-s-to-send-humvees-and-other-equipment-to-ukraine-but-still-no-weapons/,0.8084301542767224,0.7015403761934697
"Biden, Poroshenko Speak By Phone About Ukraine's Conflict",2015-03-14T22:37:30-07:00,http://www.rferl.org/content/ukraine-biden-poroshenko-imf-bailout-reaction/26901692.html,0.5502301687651138,0.6586911812682724
Ukraine Gets A Bailout -- Still Needs More Support - Forbes,2015-03-14T06:18:45-07:00,http://www.forbes.com/sites/dougschoen/2015/03/14/ukraine-gets-a-bailout-still-needs-more-support/,0.7272962970298186,0.9005938978819136
IMF signs off $17.5bn loan for Ukraine in second attempt to stave off bankruptcy | World news | The Guardian,2015-03-11T12:46:06-07:00,http://www.theguardian.com/world/2015/mar/11/imf-signs-off-175bn-loan-ukraine-second-attempt-bankruptcy-bailout,0.5732872962055038,0.1513639884336933
"Bowler Throws Grenade Instead of Ball in Ukraine, 2 Injured - ABC News",2015-03-13T05:33:45-07:00,http://abcnews.go.com/Weird/wireStory/bowler-throws-grenade-ball-ukraine-injured-29610062,0.575790056980254,0.756223131738287
"Recycling in the US: An off-again, on-again love affair",2015-03-13T09:14:05-07:00,http://arstechnica.com/security/2015/03/mysterious-snafu-hijacks-uk-nukes-makers-traffic-through-ukraine/,1.192099784322295,0.046306503994668284
Maps: How Ukraine became Ukraine - The Washington Post,2015-03-09T02:03:41-07:00,http://www.washingtonpost.com/blogs/worldviews/wp/2015/03/09/maps-how-ukraine-became-ukraine/,0.768010189590209,0.9936317150494348
Ukraine Today: EU extends sanctions on Russia over Ukraine aggression until September,2015-03-13T13:29:49-07:00,http://www.kyivpost.com/content/ukraine-abroad/ukraine-today-eu-extends-sanctions-on-russia-over-ukraine-aggression-until-september-383400.html,0.6278247583752028,0.5799172162422062
Mariupol residents gather to show they support Ukraine - watch on - uatoday.tv,2015-03-14T11:33:45-07:00,http://uatoday.tv/geopolitics/mariupol-residents-gather-to-show-they-support-ukraine-415334.html,0.7445805145212233,0.5875478190047753
"For Ukrainian children, war-games invade playtime",2015-03-13T02:56:15-07:00,http://www.macleans.ca/news/world/for-ukrainian-children-war-games-invade-playtime/,0.6619097562711348,0.7052575993499294
"U.S. officials weigh defensive weapons, training for Ukraine - CNN.com",2015-03-04T15:48:45-08:00,http://www.cnn.com/2015/03/04/politics/ukraine-sanctions-russia-victoria-nuland/,0.6118110376884658,0.9026637643320001
NATO chief says Russia still equipping Ukraine rebels,2015-03-11T02:58:32-07:00,http://www.reuters.com/article/2015/03/11/us-ukraine-crisis-nato-russia-idUSKBN0M70W420150311,0.6537846092348829,0.8119245374570745
Fundraisers help raise Ukraine crisis awareness,2015-03-13T13:31:39-07:00,http://www.wbaltv.com/news/Fundraisers-help-raise-Ukraine-crisis-awareness/31783564,0.6476778546043737,0.9676139293650899
PressTV-‘US hypocritical over Ukraine crisis',2015-03-14T08:45:00-07:00,http://www.presstv.ir/Detail/2015/03/14/401821/US-hypocritical-over-Ukraine-crisis,0.6519160608794304,0.46383161923649896
"In Ukraine, Tomorrow's Drone War Is Alive Today - Defense One",2015-03-09T15:20:54-07:00,http://www.defenseone.com/technology/2015/03/ukraine-tomorrows-drone-war-alive-today/107085/,0.6278128706396046,0.48857321265347964
Ukraine's new bail-out,2015-02-12T06:28:29-08:00,http://www.economist.com/blogs/freeexchange/2015/02/ukraines-new-bail-out-0,0.42226260137140753,0.01744401073219591
Volunteer Ukrainian unit includes Nazis,2015-03-10T12:01:41-07:00,http://www.usatoday.com/story/news/world/2015/03/10/ukraine-azov-brigade-nazis-abuses-separatists/24664937/,0.5063022516359648,0.534745336073727
‘New IMF loan to Ukraine will go down the drain' - RT Op-Edge,2015-03-11T07:03:45-07:00,http://rt.com/op-edge/239705-ukraine-imf-financial-aid/,0.5005062895367682,0.03882330732062722
Ukraine officially requests EU and UN peacekeeping missions to support ceasefire - watch on - uatoday.tv,2015-03-14T09:30:00-07:00,http://uatoday.tv/politics/ukraine-officially-requests-eu-and-un-peacekeeping-missions-to-support-ceasefire-415323.html,0.5813390045515285,0.5990979798552402
US National Guard Troops Are Being Sent To Ukraine,2015-03-12T08:56:15-07:00,http://www.mintpressnews.com/us-national-guard-troops-are-being-sent-to-ukraine/203307/,0.6016992928166601,0.5456672538568772
German Ex-Minister Refuses to Cooperate With Ukraine's Modernization Agency / Sputnik International,2015-03-15T03:41:15-07:00,http://sputniknews.com/europe/20150315/1019517081.html,0.7160393122118242,0.31716839437753364
"Ukraine says rebels attack near Mariupol, NATO deploys Baltic troops",2015-03-09T15:18:45-07:00,http://www.businessinsider.com/afp-ukraine-says-rebels-attack-near-mariupol-nato-deploys-baltic-troops-2015-3,0.5652610624571619,0.4591405879441306
Moldova: Economic gains can defeat Ukraine separatists,2015-03-08T03:52:30-07:00,http://www.usatoday.com/story/news/world/2015/03/08/improve-economy-to-solve-ukraine-conflict/24528235/,0.7029482466070398,0.752556536314621
Ukraine Christian Sounds Alarm on Putin's Ambitions,2015-03-08T10:31:43-07:00,http://www.cbn.com/cbnnews/world/2015/March/Ukrainian-Christian-Sounds-Alarm-on-Putins-Territorial-Ambitions/,0.7098587999761065,0.47045121206024815
Russia drops charges against woman accused of treason over Ukraine,2015-03-13T08:00:00-07:00,http://www.reuters.com/article/2015/03/13/us-ukraine-crisis-russia-treason-idUSKBN0M91QZ20150313,0.5143760747237468,0.29710198908792357
How Ukraine's Debt Crisis Affects The European Union,2015-03-13T11:11:15-07:00,http://www.investopedia.com/articles/investing/031315/how-ukraines-debt-crisis-affects-european-union.asp,0.49597088597600564,0.8883744582538818
Wargaming Russia's Military Options in Ukraine,2015-03-06T13:45:00-08:00,https://www.stratfor.com/video/wargaming-russias-military-options-ukraine,0.5217342155262237,0.3154030003405253
Ukraine suffering the world doesn't see - CNN.com,2015-03-06T09:48:45-08:00,http://www.cnn.com/2015/03/06/opinions/rzehak-ukraine-destruction-children/,0.6176180256526695,0.5084341023809608
Officials: 33 bodies recovered from eastern Ukraine mine disaster - CNN.com,2015-03-04T01:01:13-08:00,http://www.cnn.com/2015/03/04/europe/ukraine-miners-trapped/,0.5228153928543832,0.39337585256201457
Ukraine: Civilians Struggle to Get Medical Care | Human Rights Watch,2015-03-12T21:13:12-07:00,http://www.hrw.org/news/2015/03/13/ukraine-civilians-struggle-get-medical-care,0.7613304184786713,0.36931350396001095
​Ukraine – EU Association Agreement should consider Russian interests – Spanish FM - RT Business,2015-03-10T07:58:26-07:00,http://rt.com/business/239305-russia-ukraine-eu-association/,0.6374477411935984,0.7105274056227764
"Ceasefire falters, U.N. Security Council calls for end to fighting in Ukraine - CNN.com",2015-02-17T03:25:21-08:00,http://www.cnn.com/2015/02/17/europe/ukraine-conflict/,0.5618960367445004,0.16183004697470313
Ukraine rebels turn oligarch`s plant into tank factory | Zee News,2015-03-14T21:52:30-07:00,http://zeenews.india.com/news/world/ukraine-rebels-turn-oligarchs-plant-into-tank-factory_1561824.html,0.5006267328005793,0.2067005991381975
Three dead as Kiev accuses Ukraine rebels of shelling,2015-03-03T00:20:03-08:00,http://www.reuters.com/article/2015/03/03/us-ukraine-crisis-soldiers-death-idUSKBN0LZ0LF20150303,0.5928990605116828,0.06668593349496295
Putin's Second Useless Ukraine Ceasefire,2015-02-12T10:41:59-08:00,http://www.thedailybeast.com/articles/2015/02/12/a-ceasfire-is-announced-in-ukraine-again.html,-1.938067952442375,
UPDATE 1-State-run Ukraine firms' dollar bonds fall as restructuring looms,2015-03-13T10:48:45-07:00,http://www.reuters.com/article/2015/03/13/ukraine-company-bonds-idUSL5N0WF3PE20150313,0.5040407462164649,0.711924827307852
